<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
AAPL;D;230103;000000;130.28;130.9;124.17;125.05;81814063
AAPL;D;230104;000000;126.89;128.6557;125.08;126.38;68028141
AAPL;D;230105;000000;127.13;127.77;124.76;125.03;60355210
AAPL;D;230106;000000;126.01;130.29;124.89;129.5;64499963
AAPL;D;230109;000000;130.465;133.41;129.89;130.19;53335580
AAPL;D;230110;000000;130.26;131.2636;128.12;130.75;51146032
AAPL;D;230111;000000;131.25;133.51;130.46;133.48;51412280
AAPL;D;230112;000000;133.88;134.26;131.44;133.385;51993979
AAPL;D;230113;000000;132.03;134.92;131.66;134.7;43773359
AAPL;D;230117;000000;134.83;137.29;134.13;135.93;46882318
AAPL;D;230118;000000;136.815;138.61;135.03;135.2;50370063
AAPL;D;230119;000000;134.08;136.25;133.77;135.2822;43645285
AAPL;D;230120;000000;135.28;138.02;134.22;137.84;54528858
AAPL;D;230123;000000;138.12;143.315;137.9;141.1;62906217
AAPL;D;230124;000000;140.305;143.16;140.3;142.5;44299686
AAPL;D;230125;000000;140.89;142.43;138.81;141.8501;49530701
AAPL;D;230126;000000;143.17;144.25;141.9;143.92;39935571
AAPL;D;230127;000000;143.155;147.23;143.08;145.97;50733665
AAPL;D;230130;000000;144.955;145.55;142.85;143.03;45846225
AAPL;D;230131;000000;142.7;144.34;142.28;144.3;37779915
AAPL;D;230201;000000;143.97;146.61;141.32;145.46;56735103
AAPL;D;230202;000000;148.9;151.18;148.17;150.92;70615877
AAPL;D;230203;000000;148.03;157.38;147.83;154.5;109181607
AAPL;D;230206;000000;152.575;153.1;150.78;151.68;49404667
AAPL;D;230207;000000;150.64;155.23;150.64;154.64;59625018
AAPL;D;230208;000000;153.88;154.58;151.168;151.945;44697124
AAPL;D;230209;000000;153.775;154.33;150.42;150.88;38726259
AAPL;D;230210;000000;149.46;151.3401;149.22;151.02;37744244
AAPL;D;230213;000000;150.952;154.26;150.92;153.84;43019308
AAPL;D;230214;000000;152.12;153.77;150.86;153.1;44027970
AAPL;D;230215;000000;153.11;155.5;152.88;155.36;46981368
AAPL;D;230216;000000;153.51;156.33;153.3475;153.69;47099978
AAPL;D;230217;000000;152.35;153;150.85;152.54;41766044
AAPL;D;230221;000000;150.2;151.3;148.405;148.48;37699481
AAPL;D;230222;000000;148.87;149.95;147.16;148.93;37729513
AAPL;D;230223;000000;150.09;150.34;147.24;149.42;35279335
AAPL;D;230224;000000;147.11;147.19;145.7202;146.71;39777155
AAPL;D;230227;000000;147.71;149.17;147.45;147.9189;32026056
AAPL;D;230228;000000;147.05;149.08;146.83;147.4;30218121
AAPL;D;230301;000000;146.83;147.2285;145.01;145.33;37115055
AAPL;D;230302;000000;144.38;146.71;143.9;145.9101;36663782
AAPL;D;230303;000000;148.045;151.11;147.33;151.1;47926122
AAPL;D;230306;000000;153.785;156.3;153.46;153.87;65775090
AAPL;D;230307;000000;153.7;154.0299;151.13;151.58;41619577
AAPL;D;230308;000000;152.81;153.47;151.83;152.89;37162123
AAPL;D;230309;000000;153.559;154.535;150.225;150.55;39956799
AAPL;D;230310;000000;150.21;150.94;147.6096;148.48;50786753
AAPL;D;230313;000000;147.805;153.14;147.7;150.46;63608182
AAPL;D;230314;000000;151.28;153.4;150.1;152.55;50405514
AAPL;D;230315;000000;151.19;153.245;149.92;152.99;53536727
AAPL;D;230316;000000;152.16;156.46;151.64;155.91;57204136
AAPL;D;230317;000000;156.08;156.74;154.28;155.005;60202136
AAPL;D;230320;000000;155.07;157.82;154.15;157.46;51563193
AAPL;D;230321;000000;157.32;159.4;156.54;159.4;50474679
AAPL;D;230322;000000;159.3;162.14;157.81;157.815;55318089
AAPL;D;230323;000000;158.83;161.5501;157.68;158.89;50052016
AAPL;D;230324;000000;158.86;160.34;157.85;160.25;41853035
AAPL;D;230327;000000;159.94;160.77;157.87;158.3;36554058
AAPL;D;230328;000000;157.97;158.49;155.98;157.67;34140476
AAPL;D;230329;000000;159.37;161.05;159.35;160.78;37235497
AAPL;D;230330;000000;161.53;162.47;161.271;162.37;34761034
AAPL;D;230331;000000;162.44;165;161.91;164.89;43237626
AAPL;D;230403;000000;164.27;166.29;164.22;166.1;38148369
AAPL;D;230404;000000;166.595;166.84;165.11;165.65;30902087
