<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
AAPL;W;250106;000000;244.31;247.33;233;236.93;97097774
AAPL;W;250113;000000;233.53;238.96;228.03;229.96;152719862
AAPL;W;250120;000000;224;227.03;219.38;222.79;159047714
AAPL;W;250127;000000;224.02;247.19;223.98;235.84;206358864
AAPL;W;250203;000000;229.99;234;225.7;227.71;128166196
AAPL;W;250210;000000;229.57;245.55;227.2;244.57;121972583
AAPL;W;250217;000000;244.15;248.69;241.84;245.59;86347457
AAPL;W;250224;000000;244.925;250;230.2;241.84;127479294
AAPL;W;250303;000000;241.79;244.0272;229.23;239.03;138960538
AAPL;W;250310;000000;235.54;236.16;208.42;213.38;202652258
AAPL;W;250317;000000;213.31;218.84;209.97;218.36;144039848
AAPL;W;250324;000000;221;225.02;217.68;217.85;105550315
AAPL;W;250331;000000;217.005;225.62;187.34;188.38;210627823
AAPL;W;250407;000000;177.2;200.61;169.2101;198.02;416505156
AAPL;W;250414;000000;211.44;212.94;192.37;196.87;161858346
AAPL;W;250421;000000;193.265;209.75;189.8112;209.23;125422710
AAPL;W;250428;000000;210;214.56;202.16;205.35;183675901
AAPL;W;250505;000000;203.1;204.1;193.25;198.53;190384308
AAPL;W;250512;000000;210.97;213.94;206.75;211.252;179526762
AAPL;W;250519;000000;207.91;209.48;193.46;195.27;191492942
AAPL;W;250526;000000;198.3;203.81;196.78;200.85;151854583
AAPL;W;250602;000000;200.28;206.24;200.12;203.92;154940201
AAPL;W;250609;000000;204.39;206;195.7;196.45;204645380
AAPL;W;250616;000000;197.3;201.7;195.07;201;158311897
AAPL;W;250623;000000;201.625;203.67;198.96;201.08;192837102
AAPL;W;250630;000000;202.3;214.65;199.2607;213.55;204812291
AAPL;W;250707;000000;212.68;216.23;207.22;211.16;165768545
AAPL;W;250714;000000;209.925;212.4;207.54;211.18;158343041
AAPL;W;250721;000000;212.1;215.78;211.63;213.88;163333284
AAPL;W;250728;000000;214.03;214.845;201.5;202.38;203050490
AAPL;W;250804;000000;204.505;231;201.675;229.35;312314880
AAPL;W;250811;000000;227.92;235.12;224.76;231.59;205687609
AAPL;W;250818;000000;231.7;233.12;223.7804;227.76;131635604
AAPL;W;250825;000000;226.48;233.41;224.69;232.14;135597246
AAPL;W;250901;000000;229.25;241.32;226.97;239.669;146341620
AAPL;W;250908;000000;239.3;240.15;225.95;234.07;216457476
AAPL;W;250915;000000;237;246.3;235.03;245.5;257561967
AAPL;W;250922;000000;248.3;257.6;248.12;255.46;222540360
AAPL;W;250929;000000;254.56;259.24;253.01;258.049;159182865
AAPL;W;251006;000000;257.99;259.07;244;245.27;148073251
AAPL;W;251013;000000;249.38;253.38;244.7;252.29;133272072
AAPL;W;251020;000000;255.885;265.29;255.43;262.82;176806866
AAPL;W;251027;000000;264.88;277.32;264.6501;270.37;182278208
AAPL;W;251103;000000;270.42;273.4;266.25;268.47;158426902
AAPL;W;251110;000000;268.96;276.699;267.455;272.41;150504054
AAPL;W;251117;000000;268.815;275.43;265.32;271.49;157602030
AAPL;W;251124;000000;270.9;280.38;270.9;278.85;106566738
AAPL;W;251201;000000;278.01;288.62;276.14;278.78;150394419
AAPL;W;251208;000000;278.13;280.03;273.81;278.28;118199434
AAPL;W;251215;000000;280.15;280.15;266.95;273.67;220643110
AAPL;W;251222;000000;272.86;275.43;269.56;273.4;77564625
AAPL;W;251229;000000;272.69;277.84;269;271.01;76873322
