<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
CSCO;W;230102;000000;47.86;48.585;46.76;48.29;41420786
CSCO;W;230109;000000;48.255;49.43;48.22;48.87;40472294
CSCO;W;230116;000000;48.92;48.94;45.67;46.77;50397982
CSCO;W;230123;000000;46.895;48.73;46.81;48.5;46758425
CSCO;W;230130;000000;48.14;49.56;47.505;48.62;52447039
CSCO;W;230206;000000;48.07;48.28;46.43;47.255;57026267
CSCO;W;230213;000000;47.45;51.74;47.18;50.76;89505480
CSCO;W;230220;000000;50.71;50.76;48.165;48.475;44298601
CSCO;W;230227;000000;48.95;49.36;48.02;49.29;48528896
CSCO;W;230306;000000;49.455;49.81;48.3;48.56;45807191
CSCO;W;230313;000000;48.53;50.55;48.12;50.209;69077774
CSCO;W;230320;000000;50.22;51.33;49.405;50.53;66928205
CSCO;W;230327;000000;50.7;52.35;50.27;52.265;42954977
CSCO;W;230403;000000;52.06;52.56;50.725;51.265;36937842
CSCO;W;230410;000000;51.11;51.4;50.05;50.54;46073885
CSCO;W;230417;000000;50.56;50.69;46.24;47.03;86968100
CSCO;W;230424;000000;47.05;47.45;45.97;47.255;68149819
CSCO;W;230501;000000;47.2;47.52;45.555;46.24;59593383
CSCO;W;230508;000000;46.44;46.93;45.92;46.73;45480872
CSCO;W;230515;000000;46.8;49.34;45.7;49.14;91309022
CSCO;W;230522;000000;49.11;50.09;47.72;49.85;60767593
CSCO;W;230529;000000;49.99;50.485;49.2609;50.02;50770468
CSCO;W;230605;000000;50.22;50.58;49.14;49.67;47058347
CSCO;W;230612;000000;49.915;52.405;49.67;52.07;61069766
CSCO;W;230619;000000;51.94;52.08;50.09;50.31;40299558
CSCO;W;230626;000000;50.305;52.26;50.18;51.725;39004964
CSCO;W;230703;000000;51.36;51.83;50.65;50.985;32925106
CSCO;W;230710;000000;51.07;52.1475;50.055;50.37;66865128
CSCO;W;230717;000000;50.2;52.995;50.14;52.65;68441406
CSCO;W;230724;000000;52.69;53.885;51.77;52.09;56705326
CSCO;W;230731;000000;51.84;53.32;51.74;52.63;44737677
CSCO;W;230807;000000;52.97;54.14;52.355;53.8;46223326
CSCO;W;230814;000000;53.8;55.835;52.87;55.05;95722626
CSCO;W;230821;000000;55.2;56.475;55.165;55.69;56531397
CSCO;W;230828;000000;55.89;58.185;55.68;57.815;48938546
CSCO;W;230904;000000;57.82;57.82;56.56;56.68;34221065
CSCO;W;230911;000000;56.72;56.965;55.54;56.02;49201255
CSCO;W;230918;000000;56.01;56.275;52.85;53.57;59014950
CSCO;W;230925;000000;53.46;54.2;52.53;53.755;48623804
CSCO;W;231002;000000;53.84;54.4;52.58;53.44;49292288
CSCO;W;231009;000000;53.35;54.22;53.25;53.78;39113886
CSCO;W;231016;000000;54.07;54.585;52.8;52.93;42782250
CSCO;W;231023;000000;52.82;53.37;51.32;51.57;45132092
CSCO;W;231030;000000;51.35;53.45;51.09;52.99;41828082
CSCO;W;231106;000000;52.97;53.5;51.75;52.58;47433456
CSCO;W;231113;000000;52.48;53.43;46.2;47.755;123964863
CSCO;W;231120;000000;47.56;48.4;47.55;48.36;48297667
CSCO;W;231127;000000;48.33;48.78;47.81;48.46;61551751
CSCO;W;231204;000000;48.06;48.59;47.59;48.38;55428764
CSCO;W;231211;000000;48.94;50.0125;48.81;49.84;71767260
CSCO;W;231218;000000;49.92;50.46;49.38;50.11;49582713
CSCO;W;231225;000000;50.11;50.6;50.05;50.52;24799112
CSCO;W;240101;000000;50.49;50.86;49.865;50.1;42434279
CSCO;W;240108;000000;49.75;50.815;49.43;50.34;54450211
CSCO;W;240115;000000;50.22;51.385;49.91;51.27;40698364
CSCO;W;240122;000000;51.55;52.62;51.205;52.14;50913965
CSCO;W;240129;000000;51.94;52.415;49.615;50.16;58709758
CSCO;W;240205;000000;49.94;50.61;49.26;50.1;60887924
CSCO;W;240212;000000;50.01;50.34;48.19;48.44;94682871
CSCO;W;240219;000000;47.95;49.14;47.85;48.86;43441579
