<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
CSCO;D;250102;000000;59.27;59.68;58.57;59.09;9263727
CSCO;D;250103;000000;58.84;59.17;58.36;58.83;10831554
CSCO;D;250106;000000;58.91;59.58;58.585;58.77;10893227
CSCO;D;250107;000000;58.97;59.245;58.645;58.92;7859672
CSCO;D;250108;000000;58.89;59.24;58.27;59.19;7162770
CSCO;D;250110;000000;58.79;59.06;58.54;58.7;7877831
CSCO;D;250113;000000;58.92;58.93;58.17;58.73;9257657
CSCO;D;250114;000000;58.97;59.34;58.75;59.34;7873642
CSCO;D;250115;000000;59.8551;60.34;59.5925;59.97;10982959
CSCO;D;250116;000000;60.18;60.445117;59.78;59.82;8597553
CSCO;D;250117;000000;60.76;60.95;60.2;60.24;12709617
CSCO;D;250121;000000;60.47;61.33;60.28;61.02;8282907
CSCO;D;250122;000000;61.04;61.755;60.99;61.62;8859166
CSCO;D;250123;000000;61.8;62.315;61.3801;62.22;7629037
CSCO;D;250124;000000;62.06;62.2899;61.86;62.22;6639774
CSCO;D;250127;000000;61.39;61.46;58.76;59.08;21419287
CSCO;D;250128;000000;59.02;59.56;58.92;59.39;13769351
CSCO;D;250129;000000;59.95;60.5363;59.51;59.54;9288413
CSCO;D;250130;000000;60.47;61.075;60.2501;60.46;10320647
CSCO;D;250131;000000;60.53;61.19;60.455;60.58;8081109
CSCO;D;250203;000000;60.19;61.255;59.55;61.05;10483748
CSCO;D;250204;000000;60.84;61.5947;60.73;61.33;6112302
CSCO;D;250205;000000;61.45;62.71;61.3;62.57;9249014
CSCO;D;250206;000000;62.82;62.91;62.0701;62.25;7407637
CSCO;D;250207;000000;62.74;63.25;62.21;62.275;10462783
CSCO;D;250210;000000;63.12;63.1541;62.38;62.79;8921985
CSCO;D;250211;000000;62.53;62.8;62.175;62.46;12492459
CSCO;D;250212;000000;61.44;62.56;61.2;62.44;17481544
CSCO;D;250213;000000;66.1;66.5;62.72;63.83;30637235
CSCO;D;250214;000000;63.79;65.07;63.44;64.88;16513000
CSCO;D;250218;000000;65.3;66.25;64.43;64.58;12327729
CSCO;D;250219;000000;64.515;64.96;64.29;64.82;7631583
CSCO;D;250220;000000;64.96;65.23;64.27;64.66;7322174
CSCO;D;250221;000000;64.68;64.96;63.88;63.98;8943230
CSCO;D;250224;000000;64.425;64.58;63.15;63.25;8791282
CSCO;D;250225;000000;64.6;64.635;63.32;64.3;12707422
CSCO;D;250226;000000;64.045;64.775;63.94;64.09;7770389
CSCO;D;250227;000000;64.765;65.29;63.75;63.84;14057163
CSCO;D;250228;000000;63.925;64.16;62.83;64.13;11679933
CSCO;D;250303;000000;64.39;64.88;63.19;63.54;12484543
CSCO;D;250304;000000;63.74;63.91;62.6132;63.25;13675385
CSCO;D;250305;000000;63.23;64.175;62.8;63.94;8740882
CSCO;D;250306;000000;63.8;64.02;62.91;63.4;13964216
CSCO;D;250307;000000;62.9;64.17;62.19;63.91;14008660
CSCO;D;250310;000000;63.48;63.69;61.68;62.05;16448023
CSCO;D;250311;000000;62.28;62.38;60.53;60.63;14084921
CSCO;D;250312;000000;60.96;61.18;60.245;60.44;12057811
CSCO;D;250313;000000;60.41;60.49;59.23;59.69;10196107
CSCO;D;250314;000000;60.32;60.62;59.92;60.47;10300424
CSCO;D;250317;000000;60.4;61.21;60.34;60.89;8137130
CSCO;D;250318;000000;60.665;60.8;59.67;60.34;9778840
CSCO;D;250319;000000;60.63;61.575;60.5;61.135;8310853
CSCO;D;250320;000000;60.475;61.02;60.34;60.6;8097247
CSCO;D;250321;000000;60.17;60.4;59.425;60.3;17380884
CSCO;D;250324;000000;61.035;61.38;60.88;60.94;8765815
CSCO;D;250325;000000;60.84;61.21;60.7;60.96;7133666
CSCO;D;250326;000000;61.03;61.84;61.005;61.8;11807192
CSCO;D;250327;000000;61.89;61.98;61.33;61.36;9446465
CSCO;D;250328;000000;61.66;61.7754;60.51;60.86;13073533
CSCO;D;250331;000000;60.63;61.895;60.24;61.69;14523946
CSCO;D;250401;000000;61.38;62.04;61.06;61.79;10496925
CSCO;D;250402;000000;61.195;61.87;61.1;61.8;11183327
CSCO;D;250403;000000;59.38;59.92;57.255;57.3;28500338
CSCO;D;250404;000000;56.656;57.47;54.44;54.5;27182403
CSCO;D;250407;000000;53.38;56.12;52.11;54.47;31108822
CSCO;D;250408;000000;54.735;55.865;52.715;53.24;23617976
CSCO;D;250409;000000;53.08;58.43;52.67;58.09;33613302
CSCO;D;250410;000000;57.82;57.94;55;56.58;21036130
CSCO;D;250411;000000;56.67;57.8;56.28;57.32;13649454
CSCO;D;250414;000000;57.89;58.21;57.095;57.43;9528334
CSCO;D;250415;000000;57.87;57.91;57.06;57.18;8865153
CSCO;D;250416;000000;56.57;57.08;55.42;55.755;11835140
CSCO;D;250417;000000;56.2;56.405;55.685;55.75;9929586
CSCO;D;250421;000000;55.16;55.33;53.83;54.34;8887248
CSCO;D;250422;000000;55.22;55.275;54.585;55.01;10161831
CSCO;D;250423;000000;56.15;56.98;55.495;55.59;14908222
CSCO;D;250424;000000;55.3;56.565;55.16;56.28;11863849
CSCO;D;250425;000000;56.21;56.78;56.07;56.68;9073975
CSCO;D;250428;000000;56.525;57.33;56.415;56.84;15352039
CSCO;D;250429;000000;56.69;57.49;56.63;57.34;10737147
CSCO;D;250430;000000;57.1;57.905;56.46;57.73;14658581
CSCO;D;250501;000000;57.78;58.4674;57.68;58.12;12587970
CSCO;D;250502;000000;59.06;59.415;58.735;59.33;11778502
CSCO;D;250505;000000;59;59.65;58.88;59.3;9643927
