<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
MSFT;W;230102;000000;243.08;245.75;219.35;224.87;104073114
MSFT;W;230109;000000;226.45;239.9;226.41;239.11;77152877
MSFT;W;230116;000000;237.97;242.38;230.68;240.15;71352385
MSFT;W;230123;000000;241.1;249.83;230.9;248.14;127804094
MSFT;W;230130;000000;244.51;264.69;242.2;258.34;85135806
MSFT;W;230206;000000;257.44;276.76;254.78;263.1;121415661
MSFT;W;230213;000000;267.64;274.97;256;258.09;106410843
MSFT;W;230220;000000;254.48;256.84;248.1;249.21;58749074
MSFT;W;230227;000000;252.46;255.62;245.61;255.33;67497733
MSFT;W;230306;000000;256.425;260.12;247.6;248.6;69441733
MSFT;W;230313;000000;247.4;283.33;245.73;279.42;144166227
MSFT;W;230320;000000;276.98;281.06;269.5191;280.57;110307123
MSFT;W;230327;000000;280.5;288.82;272.0451;288.39;79074977
MSFT;W;230403;000000;286.52;292.08;282.03;291.57;66341080
MSFT;W;230410;000000;289.208;289.9;281.64;286.13;79679795
MSFT;W;230417;000000;289.93;291.755;283.0608;285.79;63116057
MSFT;W;230424;000000;282.09;308.93;275.37;307.32;133795347
MSFT;W;230501;000000;306.97;311.97;303.4;310.62;74163541
MSFT;W;230508;000000;310.13;313;306.09;309.02;74116344
MSFT;W;230515;000000;309.095;319.04;307.59;318.38;67192602
MSFT;W;230522;000000;318.6;333.4;312.61;332.86;91460118
MSFT;W;230529;000000;335.23;337.5;324.72;335.34;64773245
MSFT;W;230605;000000;335.22;338.5599;322.5;326.86;73091234
MSFT;W;230612;000000;328.58;351.47;325.16;342.56;83731411
MSFT;W;230619;000000;339.31;342.08;332.07;335.01;51173902
MSFT;W;230626;000000;333.72;342.73;328.49;340.32;56719244
MSFT;W;230703;000000;339.19;342.99;334.7276;337.09;46663999
MSFT;W;230710;000000;334.6;351.43;327;345.37;83002233
MSFT;W;230717;000000;345.678;366.78;339.83;343.61;120814848
MSFT;W;230724;000000;345.85;351.89;329.05;338.35;115446291
MSFT;W;230731;000000;336.92;338.54;325.95;327.8;65819646
MSFT;W;230807;000000;328.37;331.11;319.21;321.09;54701513
MSFT;W;230814;000000;321.39;325.09;311.5508;316.5217;56939527
MSFT;W;230821;000000;317.93;332.98;317.04;322.94;49893649
MSFT;W;230828;000000;325.66;331.99;321.722;328.54;42185113
MSFT;W;230904;000000;329;336.16;328.66;334.3;38015326
MSFT;W;230911;000000;337.24;340.86;329.65;330.34;51570548
MSFT;W;230918;000000;327.8;330.4;315;317.01;60679173
MSFT;W;230925;000000;316.59;319.47;309.45;315.75;57681590
MSFT;W;231002;000000;316.28;329.19;311.215;327.28;57900669
MSFT;W;231009;000000;324.75;333.83;323.18;327.69;57471491
MSFT;W;231016;000000;331.05;336.88;325.45;326.67;66881596
MSFT;W;231023;000000;325.47;346.2;324.39;329.8289;102047469
MSFT;W;231030;000000;333.41;354.39;330.52;352.8;67966647
MSFT;W;231106;000000;353.45;370.1;353.35;369.52;65161393
MSFT;W;231113;000000;368.22;376.35;365.9;369.79;80172626
MSFT;W;231120;000000;371.22;379.7899;371;377.43;62674476
MSFT;W;231127;000000;376.78;384.3;371.31;374.41;67464438
MSFT;W;231204;000000;369.1;374.46;362.9;374.25;67917842
MSFT;W;231211;000000;368.48;377.6361;364.13;369.77;92255881
MSFT;W;231218;000000;369.45;376.03;368.68;374.63;49812167
MSFT;W;231225;000000;375;377.16;372.8116;375.91;30807458
MSFT;W;240101;000000;373.86;375.9;366.5;367.72;41344894
MSFT;W;240108;000000;369.3;390.68;369.01;388.44;60516423
MSFT;W;240115;000000;393.66;398.66;384.81;398.66;46934569
MSFT;W;240122;000000;400.02;407.01;393.59;403.99;51757052
MSFT;W;240129;000000;406.06;415.32;397.22;411.12;87199337
MSFT;W;240205;000000;409.9;420.82;402.91;420.55;50348642
MSFT;W;240212;000000;420.555;420.65;403.39;404.055;54932718
MSFT;W;240219;000000;403.24;415.86;397.22;410.32;37456981
MSFT;W;240226;000000;411.455;415.87;403.85;415.52;39747646
MSFT;W;240304;000000;413.44;417.35;398.39;406.1;53082873
MSFT;W;240311;000000;403.762;427.82;401.26;416.55;58660374
MSFT;W;240318;000000;414.25;430.82;413.78;428.69;41611840
MSFT;W;240325;000000;425.24;427.41;419.01;420.339;29113348
MSFT;W;240401;000000;423.95;428.67;417.58;425.36;38599425
MSFT;W;240408;000000;425.17;429.37;419.7;422.1;36914394
MSFT;W;240415;000000;426.6;426.82;397.77;399.1;41791932
MSFT;W;240422;000000;400.08;413;388.03;406.14;57525221
MSFT;W;240429;000000;405.25;407.15;389.17;406.84;49531829
MSFT;W;240506;000000;408.76;415.38;406.3701;414.71;29154252
MSFT;W;240513;000000;418.01;425.42;410.82;420.24;32118081
MSFT;W;240520;000000;420.125;433.6;420.05;430.13;34962773
MSFT;W;240527;000000;429.63;430.94;404.51;415.32;45092671
MSFT;W;240603;000000;415.525;426.28;408.9234;423.86;32261388
MSFT;W;240610;000000;424.86;443.4;423.89;442.55;34180946
MSFT;W;240617;000000;442.585;450.94;440.72;449.8;32930349
MSFT;W;240624;000000;449.8;456.17;446.41;446.91;33805719
MSFT;W;240701;000000;448.66;468.35;445.66;467.52;26068623
MSFT;W;240708;000000;466.55;467.7;450.645;453.83;38722231
MSFT;W;240715;000000;453.3;457.26;432.11;437.1;41599346
MSFT;W;240722;000000;441.79;448.39;417.27;425.49;49748026
MSFT;W;240729;000000;431.58;431.8;404.34;408.49;67178741
MSFT;W;240805;000000;389.17;410.08;385.58;406.18;51483968
MSFT;W;240812;000000;407.06;421.08;404.2434;418.54;31425264
MSFT;W;240819;000000;418.96;426.7899;412.09;416.58;31827768
MSFT;W;240826;000000;416.365;422.05;407.31;417.02;29440505
MSFT;W;240902;000000;417.91;419.88;400.8;401.84;27523239
MSFT;W;240909;000000;407.24;431.83;402.15;430.57;38509021
