<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
MSFT;D;230103;000000;243.08;245.75;237.4;239.57;15330671
MSFT;D;230104;000000;232.275;232.87;225.96;229.1;33724413
MSFT;D;230105;000000;227.2;227.55;221.7602;222.2501;26748331
MSFT;D;230106;000000;223;225.7601;219.35;224.87;28269699
MSFT;D;230109;000000;226.45;231.2366;226.41;227.15;16459735
MSFT;D;230110;000000;227.755;231.31;227.33;228.88;15231792
MSFT;D;230111;000000;231.29;235.95;231.11;235.79;16132374
MSFT;D;230112;000000;235.26;239.9;233.56;238.47;16295217
MSFT;D;230113;000000;237.002;239.37;234.92;239.11;13033759
MSFT;D;230117;000000;237.97;240.91;237.09;240.35;16640679
MSFT;D;230118;000000;241.565;242.38;235.52;235.8;17569823
MSFT;D;230119;000000;233.78;235.52;230.68;232.04;16664891
MSFT;D;230120;000000;234.855;240.74;234.51;240.15;20476992
MSFT;D;230123;000000;241.1;245.165;239.65;242.52;18983547
MSFT;D;230124;000000;242.5;243.95;240.44;242.07;19733816
MSFT;D;230125;000000;234.48;243.3;230.9;240.55;50192781
MSFT;D;230126;000000;243.65;248.31;242;248.03;22700622
MSFT;D;230127;000000;248.99;249.83;246.83;248.14;16193328
MSFT;D;230130;000000;244.51;245.6;242.2;242.76;14434579
MSFT;D;230131;000000;243.45;247.95;242.945;247.84;12066676
MSFT;D;230201;000000;248;255.18;245.47;252.75;17730378
MSFT;D;230202;000000;258.82;264.69;257.25;264.61;24072540
MSFT;D;230203;000000;259.542;264.2;257.1;258.34;16831633
MSFT;D;230206;000000;257.44;258.3;254.78;256.76;13094907
MSFT;D;230207;000000;260.53;268.775;260.08;267.56;34196381
MSFT;D;230208;000000;273.2;276.76;266.21;266.68;36557667
MSFT;D;230209;000000;273.8;273.98;262.8;263.7;23014590
MSFT;D;230210;000000;261.53;264.09;260.662;263.1;14552116
MSFT;D;230213;000000;267.64;274.6;267.15;271.31;31144214
MSFT;D;230214;000000;272.67;274.97;269.28;272.28;23470219
MSFT;D;230215;000000;268.32;270.73;266.18;269.33;16136479
MSFT;D;230216;000000;264.02;266.74;261.9;262.14;17079646
MSFT;D;230217;000000;259.39;260.09;256;258.09;18580285
MSFT;D;230221;000000;254.48;255.49;251.59;252.68;15568875
MSFT;D;230222;000000;254.09;254.34;250.34;251.59;12735072
MSFT;D;230223;000000;255.56;256.84;250.48;254.83;17669715
MSFT;D;230224;000000;249.96;251;248.1;249.21;12775412
MSFT;D;230227;000000;252.46;252.82;249.39;250.2;11635041
MSFT;D;230228;000000;249.07;251.49;248.73;249.4;10950272
MSFT;D;230301;000000;250.76;250.93;245.79;246.4;16131371
MSFT;D;230302;000000;246.55;251.4;245.61;251.11;14927005
MSFT;D;230303;000000;252.19;255.62;251.39;255.33;13854044
MSFT;D;230306;000000;256.425;260.12;255.98;256.9;13197067
MSFT;D;230307;000000;256.3;257.69;253.39;254.16;12172942
MSFT;D;230308;000000;254.04;254.5417;250.81;253.75;10859129
MSFT;D;230309;000000;255.82;259.56;251.58;252.28;16205619
MSFT;D;230310;000000;251.08;252.79;247.6;248.6;17006976
MSFT;D;230313;000000;247.4;257.91;245.73;253.92;20329091
MSFT;D;230314;000000;256.75;261.07;255.86;260.79;19352233
MSFT;D;230315;000000;259.98;266.48;259.21;265.47;28361959
MSFT;D;230316;000000;265.205;276.56;263.28;276.22;34813338
MSFT;D;230317;000000;278.26;283.33;276.3201;279.42;41309606
