<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
QCOM;W;250106;000000;159.5;165.67;155.55;156.94;14366488
QCOM;W;250113;000000;155.22;165.84;154.8;164.57;16299093
QCOM;W;250120;000000;166;175.2;165.32;172.11;13469046
QCOM;W;250127;000000;172.1;176.79;167.28;172.85;20995323
QCOM;W;250203;000000;168.88;176.55;165.4;167.93;26478754
QCOM;W;250210;000000;169.73;172.82;168.24;172.2;14984777
QCOM;W;250217;000000;173.26;176.5;165.21;165.4;16682041
QCOM;W;250224;000000;165.91;166.59;153.4;157.27;18972219
QCOM;W;250303;000000;158.99;161.82;151.35;161.19;19011380
QCOM;W;250310;000000;157.35;159.255;150.42;156.52;16819865
QCOM;W;250317;000000;155.6;160.515;153.56;156.82;13278217
QCOM;W;250324;000000;160;161.47;151.56;152.69;11982200
QCOM;W;250331;000000;150.805;155.46;126.68;127.45;27494627
QCOM;W;250407;000000;124.59;144.86;120.8019;139.24;41237094
QCOM;W;250414;000000;142.75;143.11;131.79;136.65;15395237
QCOM;W;250421;000000;134.73;149.2;133.36;148.55;17906081
QCOM;W;250428;000000;148.18;149.3;134.87;139.81;40127546
QCOM;W;250505;000000;138.3;147.5;137.46;145.18;27271786
QCOM;W;250512;000000;154.08;154.36;149.83;152.5;28724867
QCOM;W;250519;000000;150.55;156.13;141.77;145.38;26483429
QCOM;W;250526;000000;147.55;150.4999;143.48;145.2;23665585
QCOM;W;250602;000000;144.8;150.59;144.48;149.24;19947439
QCOM;W;250609;000000;151.81;162.14;151.1685;154.72;27437357
QCOM;W;250616;000000;157.03;158.45;150.63;151.302;23172491
QCOM;W;250623;000000;151.23;161.1;149.683;158.54;28279869
QCOM;W;250630;000000;159.65;163.9573;157.8;162.21;19500179
QCOM;W;250707;000000;161.11;161.83;157.15;157.46;19926865
QCOM;W;250714;000000;156.42;156.71;151.5401;154.8;22568474
QCOM;W;250721;000000;154.92;160.04;154.91;158.4;19625811
QCOM;W;250728;000000;159.76;163.6;145.5776;148.19;44970864
QCOM;W;250804;000000;148.51;150.79;144.11;147.56;23611400
QCOM;W;250811;000000;148.575;159.26;147.71;157.85;24090477
QCOM;W;250818;000000;157.78;159.89;153.05;158.01;19655779
QCOM;W;250825;000000;157.61;161.595;155.4;160.73;22119040
QCOM;W;250901;000000;157.82;163.49;154.47;159.84;18000086
QCOM;W;250908;000000;160.29;162.33;156.6101;161.83;21882194
QCOM;W;250915;000000;161.4;169.58;160.21;166.83;31431548
QCOM;W;250922;000000;166.85;174.44;165.92;169.2;21281826
QCOM;W;250929;000000;169.2;171.75;164.49;169.18;17638985
QCOM;W;251006;000000;170.54;171.98;153.35;153.515;28320029
QCOM;W;251013;000000;155.95;165.189;155.78;163.45;23459265
QCOM;W;251020;000000;163.34;172.42;162.06;168.94;22446528
QCOM;W;251027;000000;168.95;205.95;168.82;180.9;91060872
QCOM;W;251103;000000;182.95;183.45;168.25;170.89;42667248
QCOM;W;251110;000000;173.755;178.83;169.5;173.98;29407055
QCOM;W;251117;000000;172.8;174.84;158.85;163.3;35022501
QCOM;W;251124;000000;164.37;168.19;161.8739;168.03;21117475
QCOM;W;251201;000000;165.91;177.25;165.5;174.81;26021336
QCOM;W;251208;000000;174.74;183.44;172.32;178.29;24979270
QCOM;W;251215;000000;179.715;180.31;172.05;175.25;36428109
QCOM;W;251222;000000;177.555;178.3192;173.51;174.81;8832553
QCOM;W;251229;000000;174.01;175.19;171.01;172.98;11070165
