<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
QCOM;D;250102;000000;155.21;157.51;152.79;153.62;2113828
QCOM;D;250103;000000;154.8;158.435;154.49;157.75;2994881
QCOM;D;250106;000000;159.5;165.67;159.33;159.83;5013911
QCOM;D;250107;000000;162;163.45;159.25;160.46;3328474
QCOM;D;250108;000000;160.33;160.33;156.94;159.08;3182191
QCOM;D;250110;000000;157.7;158.28;155.55;156.94;2841912
QCOM;D;250113;000000;155.22;157.37;154.8;157.14;2632068
QCOM;D;250114;000000;160.14;161.01;156.559;159.58;3260642
QCOM;D;250115;000000;162.1;165.45;162.09;164.38;4226049
QCOM;D;250116;000000;165.35;165.84;161.28;161.28;2787739
QCOM;D;250117;000000;165.38;165.61;163.1;164.57;3392595
QCOM;D;250121;000000;166;168.68;165.32;167.36;3346093
QCOM;D;250122;000000;168.32;172.0899;168.19;170.27;3511338
QCOM;D;250123;000000;170.38;174.38;169.38;174.36;3679241
QCOM;D;250124;000000;175.1;175.2;171.9422;172.11;2932374
QCOM;D;250127;000000;172.1;172.2;167.28;171.2;6802596
QCOM;D;250128;000000;170.22;173.49;169.81;171.56;4575397
QCOM;D;250129;000000;171.55;173.49;170.22;171.72;2898941
QCOM;D;250130;000000;172.34;173.54;170.97;171.95;2848024
QCOM;D;250131;000000;172.51;176.79;172.29;172.85;3870365
QCOM;D;250203;000000;168.88;172.58;168.06;170.28;3673022
QCOM;D;250204;000000;168.5;173.79;168.5;173.1;2836035
QCOM;D;250205;000000;173;176.55;169.9027;176.01;5842584
QCOM;D;250206;000000;167.84;169.49;165.4;169.32;9907331
QCOM;D;250207;000000;169.83;171.3;166.06;167.93;4219782
QCOM;D;250210;000000;169.73;171.8;169;171.38;3469974
QCOM;D;250211;000000;169.65;172.7;169.11;172.03;2859929
QCOM;D;250212;000000;169.55;170.93;168.24;170.3;3049643
QCOM;D;250213;000000;170.19;172.36;169.47;172.15;3151786
QCOM;D;250214;000000;172.6;172.82;171.04;172.2;2453445
QCOM;D;250218;000000;173.26;173.72;171.2359;173.57;2904116
QCOM;D;250219;000000;173.985;176.5;173.35;175.21;3645063
QCOM;D;250220;000000;176;176.39;172.9;173.63;3365536
QCOM;D;250221;000000;174.98;175.43;165.21;165.4;6767326
QCOM;D;250224;000000;165.91;166.59;160.99;161.09;4671459
QCOM;D;250225;000000;161.66;163.33;159.44;161.24;3911451
QCOM;D;250226;000000;161.83;164.14;160.93;162.14;2568419
QCOM;D;250227;000000;162.34;163.25;154.1;154.39;3933706
QCOM;D;250228;000000;155.1;157.31;153.4;157.27;3887184
QCOM;D;250303;000000;158.99;160.08;152.52;153.66;3704957
QCOM;D;250304;000000;155.27;157.2;151.35;154.46;4299110
QCOM;D;250305;000000;155.04;159.15;153.03;158.5;3192248
