<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SAMSUNGCDGN;W;230102;000000;10.44;12.04;10.33;11.7;990600
SAMSUNGCDGN;W;230109;000000;12;12.28;11.7;12.13;1385200
SAMSUNGCDGN;W;230116;000000;12.18;12.21;11.67;12.18;749600
SAMSUNGCDGN;W;230123;000000;12.38;12.76;12.38;12.7;101400
SAMSUNGCDGN;W;230130;000000;12.62;12.62;11.79;12.13;939200
SAMSUNGCDGN;W;230206;000000;11.68;12;11.49;11.5;719800
SAMSUNGCDGN;W;230213;000000;11.27;11.83;11.26;11.31;343000
SAMSUNGCDGN;W;230220;000000;11.3;11.4;10.45;10.45;826600
SAMSUNGCDGN;W;230227;000000;10.34;11.13;10.31;11.05;1315600
SAMSUNGCDGN;W;230306;000000;10.99;11.16;9.88;9.915;1075800
SAMSUNGCDGN;W;230313;000000;10.01;10.4;9.975;10.38;1081800
SAMSUNGCDGN;W;230320;000000;10.31;10.87;9.96;10.8;756000
SAMSUNGCDGN;W;230327;000000;10.56;11.3;10.44;11.19;941200
SAMSUNGCDGN;W;230403;000000;11.12;11.16;10.75;10.92;157600
SAMSUNGCDGN;W;230410;000000;10.92;10.96;10.31;10.5;258600
SAMSUNGCDGN;W;230417;000000;10.43;10.73;10.1;10.13;337000
SAMSUNGCDGN;W;230424;000000;10.18;10.18;9.7;9.86;322600
SAMSUNGCDGN;W;230501;000000;10.04;10.05;9.59;9.88;104000
SAMSUNGCDGN;W;230508;000000;9.86;9.86;9.44;9.7;128601
SAMSUNGCDGN;W;230515;000000;9.615;10.04;9.53;9.565;120461
SAMSUNGCDGN;W;230522;000000;9.56;9.84;9.15;9.215;72413
SAMSUNGCDGN;W;230529;000000;9.35;9.6;8.9;9.6;266000
SAMSUNGCDGN;W;230605;000000;9.62;9.975;9.57;9.96;130000
SAMSUNGCDGN;W;230612;000000;9.96;10.73;9.9;10.63;304800
SAMSUNGCDGN;W;230619;000000;10.54;10.54;9.71;9.8;228400
SAMSUNGCDGN;W;230626;000000;9.79;9.925;9.57;9.59;79000
SAMSUNGCDGN;W;230703;000000;9.675;9.96;9.37;9.505;130000
SAMSUNGCDGN;W;230710;000000;9.725;10.52;9.62;10.45;224600
SAMSUNGCDGN;W;230717;000000;10.23;10.25;9.875;10.03;202800
SAMSUNGCDGN;W;230724;000000;9.95;10.91;9.84;10.89;446000
SAMSUNGCDGN;W;230731;000000;11;11.31;10.68;10.93;263000
SAMSUNGCDGN;W;230807;000000;11.8;11.8;10.53;10.53;132200
SAMSUNGCDGN;W;230814;000000;10.25;10.33;9.885;9.89;392400
SAMSUNGCDGN;W;230821;000000;9.75;10.24;9.62;9.94;153200
SAMSUNGCDGN;W;230828;000000;10.3;10.4;10.09;10.24;132000
SAMSUNGCDGN;W;230904;000000;10.24;10.65;10.14;10.17;230400
SAMSUNGCDGN;W;230911;000000;9.905;10.11;9.88;10.02;714800
SAMSUNGCDGN;W;230918;000000;9.91;9.92;9.465;9.855;97800
SAMSUNGCDGN;W;230925;000000;9.665;9.815;9.4;9.775;327200
SAMSUNGCDGN;W;231002;000000;9.47;9.525;9.285;9.51;34200
SAMSUNGCDGN;W;231009;000000;9.685;10.08;9.58;9.685;549000
SAMSUNGCDGN;W;231016;000000;9.53;9.57;9.145;9.155;405600
SAMSUNGCDGN;W;231023;000000;9.1;9.51;9;9.51;346400
SAMSUNGCDGN;W;231030;000000;9.51;9.565;9.17;9.555;569000
SAMSUNGCDGN;W;231106;000000;9.825;9.895;9.47;9.47;191800
SAMSUNGCDGN;W;231113;000000;9.495;10.15;9.495;9.585;553000
SAMSUNGCDGN;W;231120;000000;9.71;10.05;9.665;9.83;659400
SAMSUNGCDGN;W;231127;000000;10.02;10.02;9.63;9.775;522600
SAMSUNGCDGN;W;231204;000000;9.705;9.705;9.3;9.425;475800
SAMSUNGCDGN;W;231211;000000;9.29;9.745;9.15;9.64;395800
SAMSUNGCDGN;W;231218;000000;9.65;9.65;8.96;8.995;480200
SAMSUNGCDGN;W;231225;000000;9.175;9.635;9.175;9.525;233000
SAMSUNGCDGN;W;240101;000000;9.595;9.595;9.26;9.27;177000
SAMSUNGCDGN;W;240108;000000;9.04;9.23;8.945;9.115;377800
SAMSUNGCDGN;W;240115;000000;9.01;9.01;8.37;8.45;494000
SAMSUNGCDGN;W;240122;000000;8.485;9.04;8.135;8.72;791600
SAMSUNGCDGN;W;240129;000000;8.74;8.88;8.19;8.49;644400
SAMSUNGCDGN;W;240205;000000;8.41;8.92;8.39;8.515;669000
SAMSUNGCDGN;W;240212;000000;8.52;9.11;8.52;9.11;289400
SAMSUNGCDGN;W;240219;000000;8.925;9.245;8.78;9.165;505200
SAMSUNGCDGN;W;240226;000000;9.085;9.2;8.87;9.085;1187200
SAMSUNGCDGN;W;240304;000000;9.045;9.15;8.685;8.82;1771400
SAMSUNGCDGN;W;240311;000000;8.905;9.52;8.895;9.22;721600
SAMSUNGCDGN;W;240318;000000;9.3;9.58;9.07;9.185;868400
SAMSUNGCDGN;W;240325;000000;9.305;9.37;9.075;9.37;561400
SAMSUNGCDGN;W;240401;000000;9.305;9.52;9.305;9.37;208600
SAMSUNGCDGN;W;240408;000000;9.3;9.645;9.3;9.425;380400
SAMSUNGCDGN;W;240415;000000;9.2;9.315;8.81;8.905;452400
SAMSUNGCDGN;W;240422;000000;9.055;10.18;9.025;10.14;585800
SAMSUNGCDGN;W;240429;000000;10.14;10.76;9.985;10.65;1350800
SAMSUNGCDGN;W;240506;000000;10.71;10.75;10.46;10.58;489000
SAMSUNGCDGN;W;240513;000000;10.56;11.26;10.56;11.26;224600
SAMSUNGCDGN;W;240520;000000;11.16;11.19;10.52;10.52;222200
SAMSUNGCDGN;W;240527;000000;10.63;10.82;10.13;10.47;64000
SAMSUNGCDGN;W;240603;000000;10.35;10.46;10.24;10.24;293400
SAMSUNGCDGN;W;240610;000000;10.24;10.38;9.95;10.33;65000
SAMSUNGCDGN;W;240617;000000;10.2;10.44;10.1;10.12;131000
SAMSUNGCDGN;W;240624;000000;10.03;10.14;9.78;9.78;258400
SAMSUNGCDGN;W;240701;000000;9.665;10.06;9.645;9.865;124400
SAMSUNGCDGN;W;240708;000000;9.99;10.33;9.76;10.33;183600
SAMSUNGCDGN;W;240715;000000;10.31;10.31;9.695;9.695;41200
SAMSUNGCDGN;W;240722;000000;9.805;9.94;9.42;9.485;211600
SAMSUNGCDGN;W;240729;000000;9.57;9.68;9.33;9.33;120000
SAMSUNGCDGN;W;240805;000000;9.215;9.53;9.15;9.495;389800
SAMSUNGCDGN;W;240812;000000;9.73;9.865;9.69;9.865;83200
SAMSUNGCDGN;W;240819;000000;9.99;10.05;9.61;9.81;141200
SAMSUNGCDGN;W;240826;000000;9.78;9.83;9.09;9.55;355400
SAMSUNGCDGN;W;240902;000000;9.385;9.425;9.305;9.305;20800
SAMSUNGCDGN;W;240909;000000;9.25;9.52;9.195;9.52;63200
SAMSUNGCDGN;W;240916;000000;9.4;10.06;9.4;9.985;31200
SAMSUNGCDGN;W;240923;000000;10.03;12.3;9.905;12.1;656000
SAMSUNGCDGN;W;240930;000000;12.3;14.27;12.3;14.27;786800
SAMSUNGCDGN;W;241007;000000;14.5;14.55;12.49;12.98;863800
SAMSUNGCDGN;W;241014;000000;12.72;12.9;11.8;12.47;291200
SAMSUNGCDGN;W;241021;000000;12.2;12.51;12.13;12.2;47600
SAMSUNGCDGN;W;241028;000000;12.14;12.5;12.08;12.16;42400
SAMSUNGCDGN;W;241104;000000;12.32;12.88;12.32;12.65;169600
SAMSUNGCDGN;W;241111;000000;12.3;12.48;11.59;11.72;197800
SAMSUNGCDGN;W;241118;000000;11.72;11.98;11.38;11.38;77800
SAMSUNGCDGN;W;241125;000000;11.27;11.82;11.27;11.6;36600
SAMSUNGCDGN;W;241202;000000;11.62;11.86;11.49;11.82;78800
SAMSUNGCDGN;W;241209;000000;11.76;12.7;11.73;12.12;110600
SAMSUNGCDGN;W;241216;000000;11.8;11.8;11.6;11.62;99800
SAMSUNGCDGN;W;241223;000000;11.62;11.75;11.62;11.66;22600
SAMSUNGCDGN;W;241230;000000;11.64;11.64;11.38;11.38;6400
