<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SAMSUNGCDGN;D;250103;000000;11.38;11.38;11.38;11.38;600
SAMSUNGCDGN;D;250107;000000;11.18;11.18;11.15;11.15;1200
SAMSUNGCDGN;D;250108;000000;11.13;11.13;10.88;11.01;18600
SAMSUNGCDGN;D;250109;000000;11;11.03;11;11.01;7800
SAMSUNGCDGN;D;250110;000000;11;11;11;11;200
SAMSUNGCDGN;D;250113;000000;10.62;10.7;10.62;10.7;1200
SAMSUNGCDGN;D;250114;000000;10.91;11.04;10.91;11.04;15400
SAMSUNGCDGN;D;250115;000000;11.4;11.4;11.08;11.1;4800
SAMSUNGCDGN;D;250116;000000;11.31;11.4;11.3;11.3;13800
SAMSUNGCDGN;D;250117;000000;11.27;11.27;11.23;11.23;6000
SAMSUNGCDGN;D;250120;000000;11.64;11.8;11.64;11.66;43800
SAMSUNGCDGN;D;250121;000000;11.9;11.9;11.81;11.86;8400
SAMSUNGCDGN;D;250122;000000;11.63;11.63;11.49;11.49;10800
SAMSUNGCDGN;D;250123;000000;11.68;11.68;11.53;11.53;2400
SAMSUNGCDGN;D;250127;000000;12;12.08;12;12.05;5400
SAMSUNGCDGN;D;250128;000000;12.02;12.08;12.02;12.04;27400
SAMSUNGCDGN;D;250203;000000;11.97;12.05;11.97;12.05;9000
SAMSUNGCDGN;D;250204;000000;12.33;12.5;12.33;12.38;14200
SAMSUNGCDGN;D;250205;000000;12.38;12.4;12.38;12.4;4000
SAMSUNGCDGN;D;250206;000000;12.3;12.45;12.3;12.45;15200
SAMSUNGCDGN;D;250207;000000;12.6;12.84;12.54;12.75;27000
SAMSUNGCDGN;D;250210;000000;13;13.26;13;13.11;160400
SAMSUNGCDGN;D;250211;000000;13.29;13.3;13;13;30400
SAMSUNGCDGN;D;250212;000000;13.05;13.3;13.05;13.3;104000
SAMSUNGCDGN;D;250213;000000;13.39;13.9;13.25;13.25;88000
SAMSUNGCDGN;D;250214;000000;13.53;14.17;13.53;14.02;143600
SAMSUNGCDGN;D;250217;000000;14.3;14.5;13.89;14;49000
SAMSUNGCDGN;D;250218;000000;14.09;14.44;13.93;14.25;124000
SAMSUNGCDGN;D;250219;000000;14.03;14.25;14;14.11;13200
SAMSUNGCDGN;D;250220;000000;14.05;14.11;13.7;13.8;34200
SAMSUNGCDGN;D;250221;000000;14.18;14.64;14.15;14.57;85000
SAMSUNGCDGN;D;250224;000000;14.47;14.8;14.38;14.46;63000
SAMSUNGCDGN;D;250225;000000;14.42;14.42;13.85;14;65200
SAMSUNGCDGN;D;250226;000000;14.4;14.82;14.22;14.7;68000
SAMSUNGCDGN;D;250227;000000;14.73;14.8;14.36;14.4;35000
SAMSUNGCDGN;D;250228;000000;14.6;14.6;13.68;13.79;64800
SAMSUNGCDGN;D;250303;000000;13.98;14.04;13.66;13.9;41000
SAMSUNGCDGN;D;250304;000000;13.6;13.77;13.5;13.75;29400
SAMSUNGCDGN;D;250305;000000;14.1;14.35;14;14.3;38400
SAMSUNGCDGN;D;250306;000000;14.8;15.2;14.78;15.18;63000
SAMSUNGCDGN;D;250307;000000;14.9;15.41;14.9;15.08;43600
SAMSUNGCDGN;D;250310;000000;14.83;14.83;14.61;14.7;11000
SAMSUNGCDGN;D;250311;000000;14.34;14.61;14.34;14.4;21600
SAMSUNGCDGN;D;250312;000000;14.9;14.9;14.19;14.43;48800
SAMSUNGCDGN;D;250313;000000;14.23;14.27;14.08;14.2;27200
SAMSUNGCDGN;D;250314;000000;14.4;14.8;14.4;14.72;19200
SAMSUNGCDGN;D;250317;000000;14.8;15.03;14.8;14.8;31800
SAMSUNGCDGN;D;250318;000000;15.2;15.41;15.2;15.41;70600
SAMSUNGCDGN;D;250319;000000;15.18;15.27;15.18;15.27;6400
SAMSUNGCDGN;D;250320;000000;14.98;15;14.74;14.74;20600
SAMSUNGCDGN;D;250321;000000;14.74;14.9;14.4;14.56;57600
SAMSUNGCDGN;D;250324;000000;14.35;14.59;14.35;14.59;19400
SAMSUNGCDGN;D;250325;000000;14.39;14.39;14.18;14.22;13600
SAMSUNGCDGN;D;250326;000000;14.25;14.28;14.25;14.28;3800
SAMSUNGCDGN;D;250327;000000;14.36;14.5;14.25;14.35;79200
SAMSUNGCDGN;D;250328;000000;14.38;14.38;14.12;14.27;52200
SAMSUNGCDGN;D;250331;000000;14;14.07;14;14;9200
SAMSUNGCDGN;D;250401;000000;14;14.15;13.95;14;8200
SAMSUNGCDGN;D;250402;000000;14.1;14.15;13.92;13.92;3400
SAMSUNGCDGN;D;250403;000000;13.68;13.68;13.5;13.56;44600
SAMSUNGCDGN;D;250407;000000;12.45;12.68;11.3;11.3;107200
SAMSUNGCDGN;D;250408;000000;11.9;12.12;11.57;11.57;29400
SAMSUNGCDGN;D;250409;000000;11.66;11.84;11.6;11.84;28400
SAMSUNGCDGN;D;250410;000000;12.3;12.5;12.13;12.13;83000
SAMSUNGCDGN;D;250411;000000;12.12;12.3;11.86;12.3;2600
SAMSUNGCDGN;D;250414;000000;12.27;12.3;12.25;12.25;33000
SAMSUNGCDGN;D;250415;000000;12.27;12.33;12.26;12.33;4000
SAMSUNGCDGN;D;250416;000000;12.1;12.1;11.87;11.96;16000
SAMSUNGCDGN;D;250417;000000;11.88;12.22;11.88;12.13;12200
SAMSUNGCDGN;D;250422;000000;12.17;12.19;12.01;12.01;31000
SAMSUNGCDGN;D;250423;000000;12.53;12.7;12.53;12.7;16200
SAMSUNGCDGN;D;250424;000000;12.65;12.68;12.5;12.5;5600
SAMSUNGCDGN;D;250425;000000;12.75;12.9;12.69;12.82;10000
SAMSUNGCDGN;D;250428;000000;12.66;12.66;12.65;12.65;10200
SAMSUNGCDGN;D;250429;000000;12.75;12.83;12.65;12.7;3800
SAMSUNGCDGN;D;250430;000000;12.82;12.82;12.82;12.82;400
SAMSUNGCDGN;D;250502;000000;13.18;13.23;13.1;13.23;89800
SAMSUNGCDGN;D;250506;000000;13.3;13.3;13.3;13.3;200
SAMSUNGCDGN;D;250507;000000;13.68;13.68;13.24;13.24;7800
SAMSUNGCDGN;D;250508;000000;13.3;13.38;13.3;13.38;9600
SAMSUNGCDGN;D;250509;000000;13.18;13.25;13.18;13.25;1800
SAMSUNGCDGN;D;250512;000000;13.55;14.03;13.49;14.03;7600
SAMSUNGCDGN;D;250513;000000;13.96;13.96;13.5;13.5;15800
SAMSUNGCDGN;D;250514;000000;13.62;13.8;13.62;13.8;14000
SAMSUNGCDGN;D;250515;000000;13.8;13.88;13.8;13.8;1200
